"id","raw_id","aircraft_model","published_date","event_tag","airline","event_location","event_date","event_description","aircraft_tail_extracted","ac_manufacturer_extracted","ac_model_extracted","flight_number_extracted"
117988,1558,A321,2023-07-18 00:00:00.000 +0200,Incident,Lufthansa,Munich,2023-07-18 00:00:00.000 +0200,rejected takeoff due to bird strike,D-AIRN,Airbus,A321-100,LH-1800
117847,1417,A320,2023-08-17 00:00:00.000 +0200,Incident,Vueling,Barcelona,2023-07-16 00:00:00.000 +0200,rejected takeoff due to bird strike,EC-JTR,Airbus,A320-200,VY-2212
117999,1569,E190,2023-07-16 00:00:00.000 +0200,Incident,Jetblue,Washington,2023-07-15 00:00:00.000 +0200,gear problem on departure after bird strike,N339JB,Embraer,ERJ,B6-481
118003,1573,B763,2023-07-14 00:00:00.000 +0200,Incident,Maersk,Athens and Munich,2023-07-11 00:00:00.000 +0200,bird strike,OY-SRU,Boeing,"767-300 ",DJ-6119
118026,1596,A20N,2023-07-07 00:00:00.000 +0200,Incident,Eurowings,Hamburg,2023-07-07 00:00:00.000 +0200,rejected takeoff due to bird strike,D-AENE,Airbus,A320-200N,EW-7514
118050,1620,B737,2023-06-30 00:00:00.000 +0200,Incident,Westjet,Calgary,2023-06-26 00:00:00.000 +0200,rejected takeoff due to bird strike,C-GSWJ,Boeing,"737-700",WS-131
118057,1627,AT72,2023-06-27 00:00:00.000 +0200,Incident,Caribbean,Port of Spain and Tobago,2023-06-24 00:00:00.000 +0200,bird strike,"9Y-TTI",ATR,"72-212A",BW-1502
118064,1634,A333,2023-06-26 00:00:00.000 +0200,Incident,Swiss,Zurich,2023-06-23 00:00:00.000 +0200,bird strike,HB-JHB,Airbus,A330-300,LX-6
118132,1702,B763,2023-05-31 00:00:00.000 +0200,Incident,Delta,Stockholm,2023-05-31 00:00:00.000 +0200,bird strike,N191DN,Boeing,"767-300",DL-205
118143,1713,A320,2023-05-28 00:00:00.000 +0200,Incident,Nepal,Kathmandu,2023-05-27 00:00:00.000 +0200,bird strike,"9N-AKW",Airbus,A320-200,RA-225
118149,1720,A20N,2023-05-25 00:00:00.000 +0200,Incident,Indigo,Mangalore,2023-05-25 00:00:00.000 +0200,rejected takeoff due to bird strike,VT-ISY,Airbus,A320-200N,"6E-1467"
118154,1725,A320,2023-05-24 00:00:00.000 +0200,Incident,PIA,Karachi,2023-05-24 00:00:00.000 +0200,bird strike,AP-BLS,Airbus,A320-200,PK-310
118160,1730,A320,2023-05-22 00:00:00.000 +0200,Incident,Easyjet Europe,Toulouse,2023-05-21 00:00:00.000 +0200,bird strike,OE-IJR,Airbus,A320-200,U2-4943
118163,1733,B738,2023-05-20 00:00:00.000 +0200,Incident,Alaska,Brownsville,2023-05-19 00:00:00.000 +0200,bird strike,N514AS,Boeing,"737-800",AS-9540
118193,1763,A20N,2023-05-13 00:00:00.000 +0200,Incident,Swiss,Zurich,2023-05-09 00:00:00.000 +0200,rejected takeoff due to bird strike,HB-JDE,Airbus,A320-200N,LX-1254
118212,1782,B738,2023-05-06 00:00:00.000 +0200,Incident,Transavia,Rotterdam,2023-05-04 00:00:00.000 +0200,bird strike,PH-HZX,Boeing,"737-800",HV-5681
118238,1807,A320,2023-04-26 00:00:00.000 +0200,Incident,Allegiant,St. Petersburg,2023-04-26 00:00:00.000 +0200,bird strike,N249NV,Airbus,A320-200,G4-996
118232,1801,A320,2023-04-28 00:00:00.000 +0200,Incident,Avianca,Medellin,2023-04-26 00:00:00.000 +0200,bird strike,N477AV,Airbus,A320-200,AV-234
118240,1809,A320,2023-04-26 00:00:00.000 +0200,Incident,Avianca,San Andres,2023-04-25 00:00:00.000 +0200,bird strike,N411AE,Airbus,A320-200,AV-9377
118242,1811,B738,2023-04-25 00:00:00.000 +0200,Incident,Flydubai,Kathmandu,2023-04-24 00:00:00.000 +0200,bird strike on departure,A6-FED,Boeing,"737-800",FZ-576
118243,1812,B738,2023-04-24 00:00:00.000 +0200,Accident,American,Columbus,2023-04-23 00:00:00.000 +0200,bird strike,N972NN,Boeing,"737-800",AA-1958
118249,1818,A320,2023-04-21 00:00:00.000 +0200,Incident,Allegiant,St. Petersburg,2023-04-20 00:00:00.000 +0200,bird strike,N261NV,Airbus,A320-200,G4-989
118245,1814,E145,2023-04-24 00:00:00.000 +0200,Accident,Commut,Houston and Laredo,2023-04-20 00:00:00.000 +0200,bird strikes into both engines,N14162,Embraer,ERJ,UA-4294
118256,1825,B738,2023-04-19 00:00:00.000 +0200,Incident,Gol,Uberlandia,2023-04-17 00:00:00.000 +0200,bird strike,PR-GUF,Boeing,"737-800",G3-1687
118264,1833,B744,2023-04-17 00:00:00.000 +0200,Incident,Singapore,Nairobi,2023-04-17 00:00:00.000 +0200,rejected takeoff due to bird strike,"9V-SFO",Boeing,"747-400 ",SQ-7343
118274,1843,A333,2023-04-13 00:00:00.000 +0200,Incident,Lingus,Dublin,2023-04-13 00:00:00.000 +0200,bird strike,EI-EIK,Airbus,A330-300,EI-123
118280,1849,A321,2023-04-12 00:00:00.000 +0200,Incident,Swiss,Zurich,2023-04-12 00:00:00.000 +0200,bird strike,HB-IOM,Airbus,A321-200,LX-2114
118282,1851,B738,2023-04-11 00:00:00.000 +0200,Incident,Delta,New York,2023-04-11 00:00:00.000 +0200,bird strike,N386DA,Boeing,"737-800",DL-838
118292,1861,B739,2023-04-08 00:00:00.000 +0200,Incident,THY,Kayseri,2023-04-07 00:00:00.000 +0200,bird strike,TC-JYP,Boeing,"737-900",TK-2015
118297,1866,A321,2023-04-05 00:00:00.000 +0200,Incident,American,Chicago,2023-04-04 00:00:00.000 +0200,bird strike,N143AN,Airbus,A321-200,AA-2611
118310,1880,B752,2023-03-31 00:00:00.000 +0200,Incident,Fedex,Memphis,2023-03-30 00:00:00.000 +0200,bird strike cracks windshield,N795FD,Boeing,"757-200 ",FX-406
118349,1920,A320,2023-03-20 00:00:00.000 +0100,Incident,Allegiant,Moline,2023-03-17 00:00:00.000 +0100,bird strike,N276NV,Airbus,A320-200,G4-883
118386,1956,A320,2023-03-10 00:00:00.000 +0100,Incident,LATAM,Cucuta,2023-03-10 00:00:00.000 +0100,rejected takeoff due to bird strike,CC-BAT,Airbus,A320-200,LA-4361
118361,1932,A320,2023-03-17 00:00:00.000 +0100,Incident,Nouvel,Tunis,2023-03-10 00:00:00.000 +0100,bird strike,TS-INE,Airbus,A320-200,BJ-640
